2020-11-16 16:58:39.507 PST,,,139090,,5fb3203f.21f52,1,,2020-11-16 16:58:39 PST,,0,LOG,00000,"database system was shut down at 2020-11-16 16:58:37 PST",,,,,,,,,""
2020-11-16 16:58:39.512 PST,,,139088,,5fb3203f.21f50,1,,2020-11-16 16:58:39 PST,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,""
2020-11-16 17:01:40.338 PST,"steve","steve",139248,"[local]",5fb320ee.21ff0,1,"idle",2020-11-16 17:01:34 PST,3/8,0,ERROR,42601,"syntax error at or near ""selegt""",,,,,,"selegt * from gar;",1,,"psql"
2020-11-16 17:11:58.786 PST,,,139088,,5fb3203f.21f50,2,,2020-11-16 16:58:39 PST,,0,LOG,00000,"server process (PID 139589) was terminated by signal 11: Segmentation fault","Failed process was running: select * from cat_csv_file;",,,,,,,,""
2020-11-16 17:11:58.786 PST,,,139088,,5fb3203f.21f50,3,,2020-11-16 16:58:39 PST,,0,LOG,00000,"terminating any other active server processes",,,,,,,,,""
2020-11-16 17:11:58.787 PST,"steve","steve",139595,"[local]",5fb3235e.2214b,1,"idle",2020-11-16 17:11:58 PST,4/0,0,WARNING,57P02,"terminating connection because of crash of another server process","The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.","In a moment you should be able to reconnect to the database and repeat your command.",,,,,,,"psql"
2020-11-16 17:11:58.788 PST,,,139094,,5fb3203f.21f56,1,,2020-11-16 16:58:39 PST,1/0,0,WARNING,57P02,"terminating connection because of crash of another server process","The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.","In a moment you should be able to reconnect to the database and repeat your command.",,,,,,,""
2020-11-16 17:11:58.794 PST,,,139088,,5fb3203f.21f50,4,,2020-11-16 16:58:39 PST,,0,LOG,00000,"all server processes terminated; reinitializing",,,,,,,,,""
2020-11-16 17:11:58.966 PST,,,139596,,5fb3235e.2214c,1,,2020-11-16 17:11:58 PST,,0,LOG,00000,"database system was interrupted; last known up at 2020-11-16 17:08:43 PST",,,,,,,,,""
2020-11-16 17:12:00.657 PST,,,139596,,5fb3235e.2214c,2,,2020-11-16 17:11:58 PST,,0,LOG,00000,"database system was not properly shut down; automatic recovery in progress",,,,,,,,,""
